number,status,play number,score,year,topic
697,,1901.2w,7.2,2018,2
698,30,2755.0w,7.2,2018,2
699,8,1346.4w,7.3,2018,2
700,,5992.5w,7.6,2018,2
701,,363.7w,7.2,2018,2
702,,1896.7w,7.4,2018,2
703,12,322.8w,7.1,2018,2
704,,127.7w,8.1,2018,2
705,,112.1w,7.1,2018,2
706,,3371.5w,7.3,2018,2
707,,5287.4w,7.3,2018,2
708,,2725.3w,6.9,2018,2
709,,7.2y,7.7,2018,2
710,8,576.7w,7.1,2018,2
711,,2399.0w,7.2,2018,2
712,,2537.1w,7.6,2018,2
713,,2138.7w,7.5,2018,2
714,,117.4w,7.5,2018,2
715,,1078.3w,6.8,2018,2
716,,1198.0w,7.2,2018,2
717,,9896.6w,7.6,2018,2
718,,5561.6w,7.2,2018,2
719,6月18日网2 会员提前看,589.0w,6.8,2018,2
720,,1481.0w,7.2,2018,2
721,,1074.4w,7.2,2018,2
722,,2868.8w,7.2,2018,2
723,,1181.2w,7.1,2018,2
724,,3597.0w,7.1,2018,2
725,,4364.5w,7.1,2018,2
726,,3718.5w,7.1,2018,2
727,,97.3w,7,2018,2
728,40,8.0y,7.1,2018,2
729,,58.9w,7,2018,2
730,74,148.8y,8.5,2017,2
731,60,73.7y,8.4,2017,2
732,45,30.1y,6.9,2017,2
733,21,19.1y,8.2,2017,2
734,23,44.2y,8.5,2017,2
735,23,15.1y,8.2,2017,2
736,20,8.4y,8.4,2017,2
737,35,21.7y,6.6,2017,2
738,34,9.6y,7.5,2017,2
739,20,6.6y,8.4,2017,2
740,23,16.7y,7.3,2017,2
741,20,33.6y,7.4,2017,2
742,24,59.6y,7.9,2017,2
743,21,3.4y,7.5,2017,2
744,39,4.8y,,2017,2
745,48,19.0y,8.4,2017,2
746,34,44.1y,7.5,2017,2
747,48,21.0y,6.9,2017,2
748,20,12.7y,6.3,2017,2
749,23,15.2y,7.5,2017,2
750,30,23.4y,8.5,2017,2
751,54,22.5y,6.3,2017,2
752,66,32.1y,6.6,2017,2
753,30,15.0y,8.5,2017,2
754,30,24.1y,8.2,2017,2
755,20,7.2y,6.5,2017,2
756,32,10.5y,7.1,2017,2
757,40,12.9y,7.8,2017,2
758,7,7.1y,9.4,2017,2
759,20,4.9y,8,2017,2
760,12,3548.0w,,2017,2
761,21,1.8y,7.4,2017,2
762,42,16.3y,7.5,2017,2
